id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17344383,Beautiful old bulding flat central in Schönberg,5182389,Manuel,Tempelhof - Schöneberg,Schöneberg-Nord,52.49817622690753,13.349021198725948,Entire home/apt,68,2,2,2017-03-19,2,1,0
3056450,Penthousezimmer im Kolonialstil,5951936,Ute,Tempelhof - Schöneberg,Schöneberg-Nord,52.49925877284967,13.349593212053328,Private room,43,2,27,2017-03-29,0.92,1,320
15769969,Nice room in Yorckstraße,71917496,Konrad,Tempelhof - Schöneberg,Schöneberg-Nord,52.492637108357904,13.363591681400951,Private room,24,3,1,2016-12-23,0.20,1,55
4104417,G. Stein Boutique Apartment Berlin,4423387,Elmar,Tempelhof - Schöneberg,Schöneberg-Nord,52.494670124530785,13.353258675347206,Entire home/apt,90,7,10,2017-02-01,0.65,3,276
17035410,Tolle sanierte Altbauwohnung in perfekter Kiezlage,104830564,Phil,Tempelhof - Schöneberg,Schöneberg-Nord,52.490571613799375,13.350317161450162,Entire home/apt,80,2,4,2017-04-02,3.00,1,116
7577046,Room in Schöneberg,39727376,Friederike,Tempelhof - Schöneberg,Schöneberg-Nord,52.493280881017526,13.366306167911713,Private room,20,1,0,,,1,0
2006060,Sensationeller Blick,3337306,Loretta,Tempelhof - Schöneberg,Schöneberg-Nord,52.49831258162933,13.35335370787623,Entire home/apt,130,3,1,2016-05-10,0.09,2,359
15047551,Big private room in Nollendorfplatz,95091425,Camila,Tempelhof - Schöneberg,Schöneberg-Nord,52.49693233669985,13.348511502719655,Private room,30,1,25,2017-03-21,3.68,1,62
1743746,NICE ROOM / ALTBAU / SCHÖNEBERG,7024255,Paulina,Tempelhof - Schöneberg,Schöneberg-Nord,52.48968219392799,13.34940203261589,Private room,38,2,27,2016-12-29,0.76,1,1
7896015,Nice room close to Winterfeldtplatz,22185719,Camilo,Tempelhof - Schöneberg,Schöneberg-Nord,52.492336138729996,13.352910785155796,Private room,45,2,8,2017-03-09,0.41,1,364
13755828,Central Sunny and Spacious place in Schoneberg!,31616010,Aviva,Tempelhof - Schöneberg,Schöneberg-Nord,52.50221789360046,13.349440136543073,Private room,34,1,5,2017-01-01,0.75,2,364
534456,central room for rent in Berlin ,2626730,Vanessa,Tempelhof - Schöneberg,Schöneberg-Nord,52.495181624672355,13.356028788918335,Private room,35,2,0,,,1,0
11528213,Kleines freundliches Apartment,59759441,Anne&Michael,Tempelhof - Schöneberg,Schöneberg-Nord,52.49538402440448,13.343388098827809,Entire home/apt,40,3,13,2017-02-16,1.05,1,348
2089912,Neu eingerichtet Apartment Toplage,10667531,Leo,Tempelhof - Schöneberg,Schöneberg-Nord,52.50325448387797,13.343737908759556,Private room,79,1,44,2017-03-08,4.16,2,315
1284674,"Large room, king bed, great located",4663702,Miljan,Tempelhof - Schöneberg,Schöneberg-Nord,52.49511071835399,13.36534428729181,Private room,37,3,45,2017-02-23,1.00,1,153
13800647,"Stort rummelig værelse, i skønne Schöneberg Berlin",22686230,Zenia,Tempelhof - Schöneberg,Schöneberg-Nord,52.49266445462822,13.357114619098718,Private room,48,2,1,2017-01-02,0.31,1,0
17133055,Bright room near KaDeWe,8136526,Anna,Tempelhof - Schöneberg,Schöneberg-Nord,52.50014783363984,13.342618197275112,Private room,70,1,2,2017-03-10,1.03,2,63
15309681,Central room near Ku´damm and Potsdamer Platz,23749777,Malte,Tempelhof - Schöneberg,Schöneberg-Nord,52.49145102835941,13.346023278227443,Private room,45,2,4,2017-02-12,0.71,1,140
17996378,"Big, central, economy am Potsdamerstr",1199067,Igor,Tempelhof - Schöneberg,Schöneberg-Nord,52.499571034081235,13.362870670029011,Entire home/apt,110,2,0,,,3,2
4952888,Modernes Maisonette zum Wohlfühlen,3317551,Fabian&Frederik,Tempelhof - Schöneberg,Schöneberg-Nord,52.49954733544951,13.357212918939382,Entire home/apt,99,3,8,2015-09-24,0.32,1,0
2125274,Apartment in Berlin Schöneberg,10840349,Marcel,Tempelhof - Schöneberg,Schöneberg-Nord,52.495954561756285,13.340748283045864,Entire home/apt,25,14,3,2014-04-01,0.08,1,0
17468499,Spacious room near city center,91770401,Ibrahim,Tempelhof - Schöneberg,Schöneberg-Nord,52.49284842357328,13.367583739167213,Private room,50,2,0,,,1,43
6786027,Zimmer in Berlin,8865786,Astrid,Tempelhof - Schöneberg,Schöneberg-Nord,52.493288599508894,13.356023859959508,Private room,56,1,22,2016-08-09,1.01,1,365
3117317,"Sunny, Charming & Spacious 3 BR in Heart of Berlin",15840638,Mike,Tempelhof - Schöneberg,Schöneberg-Nord,52.50144758035949,13.35148500593631,Entire home/apt,120,40,64,2017-02-10,1.92,1,36
10719503,YourSweetHomeD,55398739,Laurentiu,Tempelhof - Schöneberg,Schöneberg-Nord,52.49853407993561,13.348873137576192,Entire home/apt,37,60,4,2016-09-30,0.30,3,185
7834240,"Balkonstudio, lichthell&zentral",31164793,Marianne,Tempelhof - Schöneberg,Schöneberg-Nord,52.49420859064314,13.355074528750496,Entire home/apt,50,21,2,2015-10-01,0.10,1,0
4360816,Sunny 2+1- Room Apartment in Center West.,22637356,Irene,Tempelhof - Schöneberg,Schöneberg-Nord,52.49528720822654,13.359311909573792,Entire home/apt,60,2,36,2017-03-27,1.23,1,264
16616004,Cozy Studio Flat @ Nollendorfplaz,107858607,Bassem,Tempelhof - Schöneberg,Schöneberg-Nord,52.495633547749684,13.351013403636493,Entire home/apt,45,2,4,2017-04-02,2.22,2,230
11767220,Quiet Room in Schöneberg,10907348,Desch,Tempelhof - Schöneberg,Schöneberg-Nord,52.49197055097271,13.367431282442809,Private room,17,2,2,2016-08-28,0.16,2,0
16813381,SCHÖNE WOHNUNG IM GAYKIEZ,20792519,Joerg,Tempelhof - Schöneberg,Schöneberg-Nord,52.50053929349721,13.352520043014621,Entire home/apt,100,1,0,,,1,162
8030523,Beautiful room AAA location,42401277,David,Tempelhof - Schöneberg,Schöneberg-Nord,52.4976462077819,13.353160840865128,Private room,35,1,95,2017-03-30,4.97,5,326
4490750,Room with separate entrance,21221773,Frank,Tempelhof - Schöneberg,Schöneberg-Nord,52.50101074018651,13.350648449430166,Private room,43,2,117,2017-04-02,3.99,1,315
4593234,Schönes Zimmer in toller DG Wohnung,23809588,Magdalena,Tempelhof - Schöneberg,Schöneberg-Nord,52.4974942841838,13.352772714022457,Private room,49,1,1,2016-03-22,0.08,1,0
